Run,Time(s),FPS,ms_per_frame
GPU_5000,0.02,56.8,17.61
GPU_5000,0.12,57.5,17.38
GPU_5000,0.23,58.8,17.02
GPU_5000,0.33,59.1,16.92
GPU_5000,0.43,58.7,17.03
GPU_5000,0.53,57.5,17.40
GPU_5000,0.63,57.9,17.27
GPU_5000,0.74,59.9,16.70
GPU_5000,0.84,57.1,17.53
GPU_5000,0.94,60.1,16.64
GPU_5000,1.04,59.0,16.96
GPU_5000,1.14,58.5,17.09
GPU_5000,1.25,58.2,17.17
GPU_5000,1.35,59.2,16.89
GPU_5000,1.45,61.4,16.28
GPU_5000,1.55,57.1,17.50
GPU_5000,1.65,59.0,16.96
GPU_5000,1.76,58.5,17.10
GPU_5000,1.86,57.6,17.36
GPU_5000,1.97,58.9,16.98
GPU_5000,2.07,58.2,17.17
GPU_5000,2.18,59.0,16.96
GPU_5000,2.28,59.4,16.84
GPU_5000,2.38,58.7,17.04
GPU_5000,2.48,60.1,16.65
GPU_5000,2.58,58.8,17.02
GPU_5000,2.68,57.4,17.41
GPU_5000,2.79,57.5,17.40
GPU_5000,2.89,59.5,16.82
GPU_5000,2.99,59.2,16.89
GPU_5000,3.09,58.2,17.17
GPU_5000,3.19,57.7,17.32
GPU_5000,3.29,57.0,17.55
GPU_5000,3.40,60.6,16.50
GPU_5000,3.50,59.7,16.76
GPU_5000,3.60,60.5,16.53
GPU_5000,3.70,59.4,16.84
GPU_5000,3.80,58.3,17.15
GPU_5000,3.91,59.2,16.89
GPU_5000,4.01,59.4,16.85
GPU_5000,4.11,57.9,17.26
GPU_5000,4.21,59.2,16.89
GPU_5000,4.31,58.9,16.99
GPU_5000,4.41,58.6,17.07
GPU_5000,4.52,57.6,17.35
GPU_5000,4.62,58.1,17.21
GPU_5000,4.73,55.4,18.04
GPU_5000,4.84,55.5,18.01
GPU_5000,4.95,54.2,18.44
GPU_5000,5.05,54.0,18.53
GPU_5000,5.17,53.0,18.86
GPU_5000,5.28,53.4,18.73
GPU_5000,5.39,52.8,18.93
GPU_5000,5.50,53.6,18.64
GPU_5000,5.61,53.0,18.87
GPU_5000,5.72,53.2,18.79
GPU_5000,5.84,52.9,18.92
GPU_5000,5.95,53.0,18.86
GPU_5000,6.06,52.2,19.16
GPU_5000,6.17,52.6,19.00
GPU_5000,6.29,52.9,18.91
GPU_5000,6.40,52.8,18.95
GPU_5000,6.51,52.8,18.92
GPU_5000,6.62,52.5,19.03
GPU_5000,6.74,52.2,19.16
GPU_5000,6.85,52.9,18.89
GPU_5000,6.95,45.2,22.12
GPU_5000,7.07,54.3,18.43
GPU_5000,7.18,55.7,17.95
GPU_5000,7.29,54.4,18.37
GPU_5000,7.41,53.6,18.66
GPU_5000,7.52,53.9,18.56
GPU_5000,7.64,54.3,18.42
GPU_5000,7.76,40.9,24.45
GPU_5000,7.86,54.1,18.50
GPU_5000,7.97,54.8,18.23
GPU_5000,8.09,53.8,18.60
GPU_5000,8.20,54.8,18.26
GPU_5000,8.31,61.8,16.17
GPU_5000,8.42,54.4,18.38
GPU_5000,8.53,55.8,17.93
GPU_5000,8.64,55.3,18.07
GPU_5000,8.75,55.1,18.15
GPU_5000,8.86,54.5,18.36
GPU_5000,8.97,56.0,17.85
GPU_5000,9.08,55.6,17.98
GPU_5000,9.19,55.3,18.09
GPU_5000,9.30,56.0,17.86
GPU_5000,9.41,56.6,17.68
GPU_5000,9.52,56.3,17.75
GPU_5000,9.63,54.4,18.37
GPU_5000,9.74,55.5,18.03
GPU_5000,9.85,54.6,18.30
GPU_5000,9.96,54.7,18.30
