Run,Time(s),FPS,ms_per_frame
GPU_500,0.01,99.3,10.07
GPU_500,0.11,121.2,8.25
GPU_500,0.21,116.2,8.60
GPU_500,0.32,86.0,11.63
GPU_500,0.43,118.1,8.47
GPU_500,0.53,118.7,8.43
GPU_500,0.63,118.8,8.42
GPU_500,0.73,120.2,8.32
GPU_500,0.83,111.7,8.95
GPU_500,0.94,117.8,8.49
GPU_500,1.04,119.6,8.36
GPU_500,1.15,50.0,20.02
GPU_500,1.25,117.5,8.51
GPU_500,1.35,119.0,8.41
GPU_500,1.45,121.3,8.24
GPU_500,1.55,120.0,8.34
GPU_500,1.66,119.5,8.37
GPU_500,1.76,118.8,8.42
GPU_500,1.86,120.6,8.29
GPU_500,1.96,118.8,8.41
GPU_500,2.07,116.9,8.56
GPU_500,2.17,114.4,8.74
GPU_500,2.28,119.9,8.34
GPU_500,2.38,119.2,8.39
GPU_500,2.49,121.5,8.23
GPU_500,2.59,121.5,8.23
GPU_500,2.69,118.4,8.44
GPU_500,2.80,116.3,8.60
GPU_500,2.90,115.2,8.68
GPU_500,3.00,119.8,8.35
GPU_500,3.10,119.3,8.38
GPU_500,3.21,116.8,8.56
GPU_500,3.31,113.8,8.79
GPU_500,3.41,121.0,8.26
GPU_500,3.51,120.0,8.34
GPU_500,3.62,101.0,9.90
GPU_500,3.72,121.1,8.26
GPU_500,3.82,114.4,8.74
GPU_500,3.93,118.7,8.42
GPU_500,4.03,121.1,8.25
GPU_500,4.14,117.7,8.50
GPU_500,4.24,120.2,8.32
GPU_500,4.35,118.9,8.41
GPU_500,4.45,115.5,8.66
GPU_500,4.55,111.7,8.95
GPU_500,4.66,103.1,9.70
GPU_500,4.76,113.1,8.84
GPU_500,4.86,115.5,8.66
GPU_500,4.97,118.6,8.43
GPU_500,5.07,119.7,8.35
GPU_500,5.17,117.9,8.48
GPU_500,5.28,116.4,8.59
GPU_500,5.38,117.5,8.51
GPU_500,5.49,108.2,9.24
GPU_500,5.59,121.0,8.27
GPU_500,5.69,118.2,8.46
GPU_500,5.79,100.5,9.95
GPU_500,5.90,120.2,8.32
GPU_500,6.00,116.2,8.60
GPU_500,6.10,119.1,8.40
GPU_500,6.21,117.7,8.50
GPU_500,6.31,114.0,8.78
GPU_500,6.41,115.9,8.63
GPU_500,6.52,118.8,8.42
GPU_500,6.62,120.1,8.33
GPU_500,6.72,119.9,8.34
GPU_500,6.82,117.5,8.51
GPU_500,6.93,104.0,9.62
GPU_500,7.04,98.5,10.15
GPU_500,7.14,115.3,8.67
GPU_500,7.25,114.8,8.71
GPU_500,7.36,115.7,8.65
GPU_500,7.46,76.2,13.12
GPU_500,7.56,110.3,9.06
GPU_500,7.67,112.5,8.89
GPU_500,7.78,110.5,9.05
GPU_500,7.88,92.8,10.77
GPU_500,7.99,111.8,8.94
GPU_500,8.10,110.8,9.02
GPU_500,8.20,108.3,9.23
GPU_500,8.30,108.0,9.26
GPU_500,8.40,107.5,9.30
GPU_500,8.51,107.7,9.28
GPU_500,8.61,98.1,10.19
GPU_500,8.72,101.8,9.83
GPU_500,8.82,53.2,18.80
GPU_500,8.93,101.6,9.84
GPU_500,9.03,105.1,9.52
GPU_500,9.14,103.7,9.64
GPU_500,9.25,104.0,9.62
GPU_500,9.35,110.2,9.07
GPU_500,9.45,81.6,12.25
GPU_500,9.55,109.1,9.16
GPU_500,9.66,104.1,9.60
GPU_500,9.76,109.0,9.18
GPU_500,9.87,102.4,9.77
GPU_500,9.97,92.6,10.80
GPU_500,10.07,99.5,10.05
GPU_500,10.18,103.9,9.62
GPU_500,10.28,102.2,9.79
GPU_500,10.39,94.6,10.57
GPU_500,10.50,97.8,10.22
GPU_500,10.61,108.8,9.19
GPU_500,10.71,100.7,9.93
GPU_500,10.82,104.0,9.62
GPU_500,10.92,101.8,9.83
GPU_500,11.03,108.7,9.20
GPU_500,11.14,102.1,9.79
GPU_500,11.25,98.2,10.18
GPU_500,11.35,90.9,11.01
GPU_500,11.46,93.5,10.70
GPU_500,11.57,83.5,11.97
GPU_500,11.67,111.5,8.97
GPU_500,11.78,104.3,9.58
GPU_500,11.88,95.3,10.49
GPU_500,11.98,93.3,10.72
GPU_500,12.08,97.2,10.29
GPU_500,12.19,100.7,9.93
GPU_500,12.30,97.6,10.25
GPU_500,12.41,100.0,10.00
GPU_500,12.52,97.0,10.31
GPU_500,12.63,82.5,12.12
GPU_500,12.73,96.6,10.35
GPU_500,12.84,114.2,8.76
GPU_500,12.95,100.2,9.98
GPU_500,13.05,103.0,9.71
GPU_500,13.16,101.8,9.82
GPU_500,13.26,97.4,10.26
GPU_500,13.37,87.8,11.40
GPU_500,13.48,91.0,10.98
GPU_500,13.58,95.9,10.43
GPU_500,13.69,99.3,10.07
GPU_500,13.79,98.3,10.18
GPU_500,13.89,97.9,10.22
GPU_500,14.00,98.6,10.15
GPU_500,14.10,104.8,9.54
GPU_500,14.20,99.3,10.07
GPU_500,14.30,97.1,10.30
GPU_500,14.41,93.8,10.66
GPU_500,14.51,98.5,10.16
GPU_500,14.62,93.0,10.75
GPU_500,14.72,94.2,10.61
GPU_500,14.83,94.4,10.59
GPU_500,14.93,97.8,10.23
GPU_500,15.04,105.9,9.45
GPU_500,15.15,91.2,10.96
GPU_500,15.26,98.2,10.18
GPU_500,15.36,95.0,10.52
GPU_500,15.47,89.8,11.14
GPU_500,15.57,94.3,10.60
GPU_500,15.68,96.0,10.42
GPU_500,15.79,98.1,10.19
GPU_500,15.90,81.1,12.34
GPU_500,16.00,92.1,10.86
GPU_500,16.11,95.1,10.51
GPU_500,16.22,90.8,11.01
GPU_500,16.32,97.9,10.21
GPU_500,16.42,95.4,10.49
GPU_500,16.53,97.4,10.26
GPU_500,16.64,93.8,10.66
GPU_500,16.74,97.2,10.29
GPU_500,16.84,96.9,10.32
GPU_500,16.94,99.5,10.05
GPU_500,17.05,94.4,10.59
GPU_500,17.16,96.7,10.34
GPU_500,17.26,91.8,10.90
GPU_500,17.37,99.8,10.02
GPU_500,17.47,92.9,10.77
GPU_500,17.57,45.7,21.89
GPU_500,17.67,92.9,10.76
GPU_500,17.78,98.3,10.17
GPU_500,17.88,95.5,10.47
GPU_500,17.99,86.6,11.55
GPU_500,18.09,93.9,10.64
GPU_500,18.20,92.7,10.78
GPU_500,18.30,97.5,10.25
GPU_500,18.41,98.0,10.21
GPU_500,18.52,96.1,10.41
GPU_500,18.62,98.2,10.18
GPU_500,18.72,92.4,10.82
GPU_500,18.83,95.9,10.42
GPU_500,18.94,93.1,10.74
GPU_500,19.04,92.6,10.80
GPU_500,19.15,66.1,15.13
GPU_500,19.26,104.0,9.62
GPU_500,19.37,82.9,12.07
GPU_500,19.47,100.9,9.92
GPU_500,19.58,95.6,10.46
GPU_500,19.69,95.5,10.47
GPU_500,19.80,88.1,11.35
GPU_500,19.91,91.3,10.95
GPU_500,20.01,102.0,9.81
GPU_500,20.12,98.5,10.15
GPU_500,20.23,97.6,10.25
GPU_500,20.33,89.4,11.19
GPU_500,20.43,95.8,10.43
GPU_500,20.54,77.2,12.96
GPU_500,20.64,86.6,11.54
GPU_500,20.75,92.2,10.85
GPU_500,20.86,85.9,11.64
GPU_500,20.97,90.2,11.08
GPU_500,21.08,95.8,10.43
GPU_500,21.18,96.7,10.34
GPU_500,21.29,88.5,11.30
GPU_500,21.39,88.8,11.26
GPU_500,21.50,96.3,10.39
GPU_500,21.61,106.7,9.37
GPU_500,21.71,95.1,10.51
GPU_500,21.82,92.2,10.84
GPU_500,21.93,78.3,12.78
GPU_500,22.03,86.2,11.60
GPU_500,22.14,90.7,11.03
GPU_500,22.25,93.6,10.68
GPU_500,22.36,92.4,10.83
GPU_500,22.46,95.2,10.51
GPU_500,22.57,86.0,11.63
GPU_500,22.68,98.1,10.20
GPU_500,22.78,93.9,10.64
GPU_500,22.89,87.2,11.47
GPU_500,22.99,91.0,10.99
GPU_500,23.10,93.0,10.75
GPU_500,23.20,98.9,10.11
GPU_500,23.31,95.1,10.51
GPU_500,23.41,90.1,11.10
GPU_500,23.52,91.7,10.90
GPU_500,23.63,91.4,10.94
GPU_500,23.73,94.3,10.60
GPU_500,23.84,93.1,10.74
GPU_500,23.95,95.6,10.46
GPU_500,24.05,91.1,10.98
