Run,Time(s),FPS,ms_per_frame
GPU_500,24.16,91.3,10.95
GPU_500,24.26,90.7,11.03
GPU_500,24.37,90.9,11.00
GPU_500,24.47,93.2,10.73
GPU_500,24.58,87.1,11.48
GPU_500,24.69,92.3,10.83
GPU_500,24.79,95.1,10.52
GPU_500,24.90,92.9,10.76
GPU_500,25.01,96.1,10.40
GPU_500,25.12,84.7,11.81
GPU_500,25.22,90.9,11.00
GPU_500,25.32,94.3,10.61
GPU_500,25.43,90.1,11.10
GPU_500,25.53,90.9,11.01
GPU_500,25.64,93.2,10.73
GPU_500,25.75,94.1,10.63
GPU_500,25.85,94.4,10.59
GPU_500,25.96,94.4,10.60
GPU_500,26.06,94.7,10.56
GPU_500,26.16,99.2,10.08
GPU_500,26.27,101.6,9.84
GPU_500,26.37,84.9,11.77
GPU_500,26.48,85.7,11.67
GPU_500,26.58,93.8,10.66
GPU_500,26.69,99.3,10.07
GPU_500,26.79,95.2,10.51
GPU_500,26.89,98.8,10.13
GPU_500,27.00,96.9,10.32
GPU_500,27.10,98.0,10.20
GPU_500,27.20,107.8,9.27
GPU_500,27.30,103.3,9.68
GPU_500,27.40,95.9,10.43
GPU_500,27.51,102.2,9.79
GPU_500,27.62,109.3,9.15
GPU_500,27.73,93.7,10.67
GPU_500,27.83,102.9,9.72
GPU_500,27.94,105.7,9.46
GPU_500,28.05,88.3,11.32
GPU_500,28.16,100.2,9.98
GPU_500,28.26,93.4,10.71
GPU_500,28.37,104.2,9.60
GPU_500,28.47,109.8,9.11
GPU_500,28.58,107.1,9.34
GPU_500,28.68,101.8,9.82
GPU_500,28.78,105.3,9.49
GPU_500,28.89,107.7,9.29
GPU_500,29.00,98.1,10.19
GPU_500,29.11,104.1,9.61
GPU_500,29.22,98.0,10.20
GPU_500,29.34,28.0,35.77
GPU_500,29.44,98.8,10.13
GPU_500,29.55,90.3,11.07
GPU_500,29.66,83.8,11.93
GPU_500,29.77,83.2,12.01
GPU_500,29.88,71.9,13.91
GPU_500,29.98,84.3,11.86
