Run,Time(s),FPS,ms_per_frame
GPU_20k,0.10,10.5,95.16
GPU_20k,0.20,9.8,101.79
GPU_20k,0.39,5.2,190.83
GPU_20k,0.58,10.5,94.84
GPU_20k,0.77,10.6,94.17
GPU_20k,0.96,10.5,95.61
GPU_20k,1.15,10.6,94.17
GPU_20k,1.34,10.6,94.48
GPU_20k,1.53,10.6,94.77
GPU_20k,1.72,10.6,94.43
GPU_20k,1.91,10.6,94.63
GPU_20k,2.10,10.5,94.97
GPU_20k,2.28,10.6,94.51
GPU_20k,2.47,10.5,95.17
GPU_20k,2.66,10.4,95.93
GPU_20k,2.85,10.6,94.16
GPU_20k,3.04,10.5,94.87
GPU_20k,3.23,10.6,94.58
GPU_20k,3.42,10.6,94.24
GPU_20k,3.61,10.6,94.45
GPU_20k,3.80,10.6,94.36
GPU_20k,3.99,10.6,94.11
GPU_20k,4.18,10.5,94.90
GPU_20k,4.37,10.6,94.54
GPU_20k,4.56,10.6,94.77
GPU_20k,4.75,10.6,94.69
GPU_20k,4.94,10.5,94.93
GPU_20k,5.13,10.6,94.76
GPU_20k,5.31,10.6,94.75
GPU_20k,5.50,10.6,94.54
GPU_20k,5.69,10.5,94.94
GPU_20k,5.88,10.5,95.23
GPU_20k,6.08,10.6,94.74
GPU_20k,6.27,10.5,94.87
GPU_20k,6.45,10.5,94.79
GPU_20k,6.64,10.6,94.30
GPU_20k,6.83,10.6,94.37
GPU_20k,7.02,10.6,94.40
GPU_20k,7.21,10.6,94.35
GPU_20k,7.40,10.5,94.90
GPU_20k,7.59,10.5,95.63
GPU_20k,7.78,10.5,94.97
GPU_20k,7.97,10.6,94.62
GPU_20k,8.16,10.6,94.71
GPU_20k,8.35,10.6,94.68
GPU_20k,8.54,10.6,94.52
GPU_20k,8.72,10.6,94.47
GPU_20k,8.91,10.6,94.69
GPU_20k,9.10,10.6,94.55
GPU_20k,9.29,10.5,95.06
GPU_20k,9.48,10.6,94.59
GPU_20k,9.67,10.5,94.91
GPU_20k,9.86,10.6,94.00
