Run,Time(s),FPS,ms_per_frame
GPU_2500,17.69,75.5,13.24
GPU_2500,17.79,79.0,12.65
GPU_2500,17.90,74.0,13.51
GPU_2500,18.00,79.0,12.66
GPU_2500,18.10,80.6,12.40
GPU_2500,18.20,79.8,12.54
GPU_2500,18.31,79.3,12.60
GPU_2500,18.42,79.4,12.59
GPU_2500,18.52,82.7,12.09
GPU_2500,18.63,71.4,14.01
GPU_2500,18.74,66.1,15.12
GPU_2500,18.85,33.4,29.95
GPU_2500,18.97,50.0,20.00
GPU_2500,19.08,72.2,13.85
GPU_2500,19.19,79.4,12.60
GPU_2500,19.30,80.2,12.47
GPU_2500,19.41,76.7,13.03
GPU_2500,19.51,54.3,18.40
GPU_2500,19.63,76.4,13.09
GPU_2500,19.73,78.7,12.70
GPU_2500,19.84,78.4,12.75
GPU_2500,19.94,77.3,12.94
GPU_2500,20.04,78.3,12.77
GPU_2500,20.15,78.9,12.68
GPU_2500,20.25,79.8,12.54
GPU_2500,20.35,79.4,12.60
GPU_2500,20.45,85.7,11.67
GPU_2500,20.55,79.4,12.59
GPU_2500,20.66,78.4,12.75
GPU_2500,20.76,86.6,11.55
GPU_2500,20.87,77.5,12.91
GPU_2500,20.98,87.1,11.48
GPU_2500,21.09,65.4,15.30
GPU_2500,21.19,82.7,12.09
GPU_2500,21.29,71.3,14.03
GPU_2500,21.40,77.1,12.98
GPU_2500,21.51,82.6,12.11
GPU_2500,21.62,76.6,13.06
GPU_2500,21.72,85.3,11.72
GPU_2500,21.83,79.3,12.61
GPU_2500,21.93,83.6,11.96
GPU_2500,22.03,76.8,13.02
GPU_2500,22.14,69.3,14.42
GPU_2500,22.25,75.9,13.18
GPU_2500,22.35,81.9,12.20
GPU_2500,22.46,80.9,12.35
GPU_2500,22.56,72.7,13.75
GPU_2500,22.67,79.2,12.62
GPU_2500,22.77,81.0,12.35
GPU_2500,22.87,70.7,14.15
GPU_2500,22.97,76.8,13.03
GPU_2500,23.09,72.4,13.81
GPU_2500,23.19,81.1,12.33
GPU_2500,23.30,85.4,11.71
GPU_2500,23.41,79.2,12.63
GPU_2500,23.52,76.6,13.05
GPU_2500,23.63,65.2,15.33
GPU_2500,23.73,78.8,12.69
GPU_2500,23.83,79.2,12.62
GPU_2500,23.94,74.6,13.41
GPU_2500,24.04,84.7,11.81
GPU_2500,24.15,78.7,12.71
GPU_2500,24.25,78.9,12.67
GPU_2500,24.36,89.3,11.20
GPU_2500,24.46,78.6,12.72
GPU_2500,24.57,81.5,12.27
GPU_2500,24.67,89.6,11.16
GPU_2500,24.79,80.5,12.43
GPU_2500,24.90,78.2,12.78
GPU_2500,25.00,65.8,15.21
GPU_2500,25.11,75.5,13.25
GPU_2500,25.21,77.1,12.98
GPU_2500,25.31,72.0,13.89
GPU_2500,25.42,81.1,12.33
GPU_2500,25.52,86.4,11.57
GPU_2500,25.63,83.0,12.05
GPU_2500,25.73,91.0,10.99
GPU_2500,25.84,80.3,12.45
GPU_2500,25.95,77.7,12.87
GPU_2500,26.06,52.6,19.03
GPU_2500,26.17,81.6,12.26
GPU_2500,26.28,74.0,13.51
GPU_2500,26.38,78.6,12.72
GPU_2500,26.49,88.9,11.25
GPU_2500,26.60,75.6,13.23
GPU_2500,26.70,80.8,12.38
GPU_2500,26.81,80.6,12.40
GPU_2500,26.91,73.1,13.69
GPU_2500,27.02,89.2,11.22
GPU_2500,27.12,82.3,12.15
GPU_2500,27.22,81.6,12.25
GPU_2500,27.32,81.1,12.33
GPU_2500,27.43,73.9,13.53
GPU_2500,27.53,77.9,12.84
GPU_2500,27.64,47.8,20.91
GPU_2500,27.74,81.0,12.34
GPU_2500,27.85,77.0,12.98
GPU_2500,27.95,78.6,12.72
GPU_2500,28.06,95.4,10.48
GPU_2500,28.17,77.2,12.96
GPU_2500,28.27,76.8,13.01
GPU_2500,28.38,63.6,15.72
GPU_2500,28.48,85.3,11.72
GPU_2500,28.59,57.4,17.41
GPU_2500,28.70,79.8,12.52
GPU_2500,28.80,76.2,13.12
GPU_2500,28.90,80.5,12.42
GPU_2500,29.00,79.7,12.55
GPU_2500,29.10,77.0,12.98
GPU_2500,29.21,74.9,13.36
GPU_2500,29.31,80.1,12.49
GPU_2500,29.42,81.8,12.23
GPU_2500,29.52,80.1,12.48
GPU_2500,29.62,84.6,11.82
GPU_2500,29.72,81.4,12.29
GPU_2500,29.82,82.2,12.16
GPU_2500,29.93,43.9,22.78
